POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,Year
1,David  Warner,12,12,2,692,100*,69.2,481,143.86,1,8,57,21,2008
2,KL  Rahul,14,14,3,593,100*,53.9,438,135.38,1,6,49,25,2008
3,Quinton  de Kock,16,16,1,529,81,35.26,398,132.91,0,4,45,25,2008
4,Shikhar  Dhawan,16,16,1,521,97*,34.73,384,135.67,0,5,64,11,2008
5,Andre  Russell,14,13,4,510,80*,56.66,249,204.81,0,4,31,52,2008
6,Chris  Gayle,13,13,1,490,99*,40.83,319,153.6,0,4,45,34,2008
7,Rishabh  Pant,16,16,3,488,78*,37.53,300,162.66,0,3,37,27,2008
8,Virat  Kohli,14,14,0,464,100,33.14,328,141.46,1,2,46,13,2008
9,Shreyas  Iyer,16,16,1,463,67,30.86,386,119.94,0,3,41,14,2008
10,Jonny  Bairstow,10,10,2,445,114,55.62,283,157.24,1,2,48,18,2008
11,AB  de Villiers,13,13,3,442,82*,44.2,287,154,0,5,31,26,2008
12,Suryakumar  Yadav,16,15,2,424,71*,32.61,324,130.86,0,2,45,10,2008
13,MS  Dhoni,15,12,7,416,84*,83.2,309,134.62,0,3,22,23,2008
14,Chris  Lynn,13,13,0,405,82,31.15,290,139.65,0,4,41,22,2008
15,Rohit  Sharma,15,15,1,405,67,28.92,315,128.57,0,2,52,10,2008
16,Hardik  Pandya,16,15,6,402,91,44.66,210,191.42,0,1,28,29,2008
17,Shane  Watson,17,17,0,398,96,23.41,312,127.56,0,3,42,20,2008
18,Faf  du Plessis,12,12,1,396,96,36,321,123.36,0,3,36,15,2008
19,Ajinkya  Rahane,14,13,1,393,105*,32.75,285,137.89,1,1,45,9,2008
20,Suresh  Raina,17,17,1,383,59,23.93,314,121.97,0,3,45,9,2008
21,Parthiv  Patel,14,14,0,373,67,26.64,268,139.17,0,2,48,10,2008
22,Prithvi  Shaw,16,16,0,353,99,22.06,264,133.71,0,2,45,9,2008
23,Manish  Pandey,12,11,3,344,83*,43,263,130.79,0,3,34,6,2008
24,Nitish  Rana,14,11,1,344,85*,34.4,235,146.38,0,3,27,21,2008
25,Sanju  Samson,12,12,2,342,102*,34.2,230,148.69,1,0,28,13,2008
26,Mayank  Agarwal,13,13,0,332,58,25.53,234,141.88,0,2,26,14,2008
27,Steve  Smith,12,10,2,319,73*,39.87,275,116,0,3,30,4,2008
28,Jos  Buttler,8,8,0,311,89,38.87,205,151.7,0,3,38,14,2008
29,Shubman  Gill,14,13,4,296,76,32.88,238,124.36,0,3,21,10,2008
30,Ambati  Rayudu,17,17,5,282,57,23.5,303,93.06,0,1,20,7,2008
31,Robin  Uthappa,12,11,2,282,67*,31.33,245,115.1,0,1,28,10,2008
32,Kieron  Pollard,16,14,6,279,83,34.87,178,156.74,0,1,14,22,2008
33,Dinesh  Karthik,14,13,5,253,97*,31.62,173,146.24,0,2,22,14,2008
34,Vijay  Shankar,15,14,2,244,40*,20.33,193,126.42,0,0,11,12,2008
35,Moeen  Ali,11,10,2,220,66,27.5,133,165.41,0,2,16,17,2008
36,David  Miller,10,10,2,213,59*,26.62,164,129.87,0,1,19,7,2008
37,Marcus  Stoinis,10,10,6,211,46*,52.75,156,135.25,0,0,14,10,2008
38,Colin  Ingram,12,12,2,184,47,18.4,154,119.48,0,0,20,5,2008
39,Krunal  Pandya,16,15,4,183,42,16.63,150,122,0,0,18,5,2008
40,Sarfaraz  Khan,8,5,1,180,67,45,143,125.87,0,1,19,4,2008
41,Nicholas  Pooran,7,6,0,168,48,28,107,157,0,0,10,14,2008
42,Mandeep  Singh,13,12,8,165,33*,41.25,120,137.5,0,0,10,4,2008
43,Kedar  Jadhav,14,12,3,162,58,18,169,95.85,0,1,19,3,2008
44,Riyan  Parag,7,5,0,160,50,32,126,126.98,0,1,17,5,2008
45,Kane  Williamson,9,9,2,156,70*,22.28,130,120,0,1,12,5,2008
46,Sunil  Narine,12,9,1,143,47,17.87,86,166.27,0,0,17,9,2008
47,Rahul  Tripathi,8,7,1,141,50,23.5,118,119.49,0,1,13,2,2008
48,Ben  Stokes,9,9,3,123,46,20.5,99,124.24,0,0,8,4,2008
49,Mohammad  Nabi,8,7,1,115,31,19.16,76,151.31,0,0,8,7,2008
50,Axar  Patel,14,12,6,110,26,18.33,88,125,0,0,10,3,2008
51,Ravindra  Jadeja,16,9,6,106,31*,35.33,88,120.45,0,0,7,4,2008
52,Ishan  Kishan,7,6,0,101,28,16.83,100,101,0,0,8,4,2008
53,Yuvraj  Singh,4,4,0,98,53,24.5,75,130.66,0,1,7,6,2008
54,Gurkeerat  Mann Singh,3,3,0,98,65,32.66,70,140,0,1,11,2,2008
55,Sam  Curran,9,8,4,95,55*,23.75,55,172.72,0,1,13,3,2008
56,Shimron  Hetmyer,5,5,0,90,75,18,73,123.28,0,1,4,7,2008
57,Wriddhiman  Saha,5,5,0,86,28,17.2,53,162.26,0,0,13,1,2008
58,Colin  Munro,4,4,0,84,40,21,70,120,0,0,9,4,2008
59,Martin  Guptill,3,3,0,81,36,27,53,152.83,0,0,4,7,2008
60,Dwayne  Bravo,12,9,4,80,27,16,66,121.21,0,0,6,3,2008
61,Sherfane  Rutherford,7,7,2,73,28*,14.6,54,135.18,0,0,2,7,2008
62,Liam  Livingstone,4,4,1,71,44,23.66,48,147.91,0,0,6,5,2008
63,Stuart  Binny,8,5,2,70,33*,23.33,40,175,0,0,5,4,2008
64,Jofra  Archer,11,5,3,67,27*,33.5,40,167.5,0,0,4,4,2008
65,Deepak  Hooda,11,7,1,64,20,10.66,63,101.58,0,0,5,1,2008
66,Murali  Vijay,2,2,0,64,38,32,61,104.91,0,0,6,1,2008
67,Shreyas  Gopal,14,7,3,63,19*,15.75,46,136.95,0,0,8,1,2008
68,Akshdeep  Nath,8,5,0,61,24,12.2,57,107.01,0,0,5,2,2008
69,Evin  Lewis,3,3,0,48,32,16,52,92.3,0,0,4,2,2008
70,Colin  de Grandhomme,4,4,1,46,37,15.33,49,93.87,0,0,4,2,2008
71,Piyush  Chawla,13,5,2,42,14*,14,37,113.51,0,0,4,2,2008
72,Ravichandran  Ashwin,14,6,1,42,17*,8.4,28,150,0,0,3,3,2008
73,Shivam  Dube,4,4,1,40,24,13.33,33,121.21,0,0,1,3,2008
74,Yusuf  Pathan,10,8,5,40,16*,13.33,45,88.88,0,0,1,1,2008
75,Rinku  Singh,5,3,1,37,30,18.5,34,108.82,0,0,1,2,2008
76,Rashid  Khan,15,8,3,34,17*,6.8,23,147.82,0,0,2,2,2008
77,Chris  Morris,9,6,0,32,17,5.33,37,86.48,0,0,1,2,2008
78,Mitchell  Santner,4,2,1,32,22,32,23,139.13,0,0,0,3,2008
79,Rahul  Tewatia,5,4,3,26,11*,26,22,118.18,0,0,2,1,2008
80,Umesh  Yadav,11,7,5,25,14,12.5,25,100,0,0,3,1,2008
81,Amit  Mishra,11,4,2,21,8,10.5,24,87.5,0,0,2,0,2008
82,Harpreet  Brar,2,1,1,20,20*,-,12,166.66,0,0,2,1,2008
83,Prayas  Ray Barman,1,1,0,19,19,19,24,79.16,0,0,2,0,2008
84,Keemo  Paul,8,6,1,18,7,3.6,24,75,0,0,1,1,2008
85,Ben  Cutting,3,3,1,18,13*,9,17,105.88,0,0,1,1,2008
86,Krishnappa  Gowtham,7,4,1,18,9,6,19,94.73,0,0,1,1,2008
87,Simran  Singh,1,1,0,16,16,16,17,94.11,0,0,1,1,2008
88,Alzarri  Joseph,3,2,2,15,15*,-,13,115.38,0,0,2,0,2008
89,Siddhesh  Lad,1,1,0,15,15,15,13,115.38,0,0,1,1,2008
90,Shardul  Thakur,10,3,1,14,12*,7,7,200,0,0,1,1,2008
91,Kagiso  Rabada,12,4,1,14,9,4.66,15,93.33,0,0,0,1,2008
92,Bhuvneshwar  Kumar,15,5,2,12,7*,4,19,63.15,0,0,1,0,2008
93,Kuldeep  Yadav,9,4,2,12,10*,6,8,150,0,0,1,0,2008
94,Rahul  Chahar,13,4,2,12,10,6,11,109.09,0,0,2,0,2008
95,Mitchell  McClenaghan,5,4,1,11,10,3.66,16,68.75,0,0,2,0,2008
96,Carlos  Brathwaite,2,2,0,11,6,5.5,10,110,0,0,1,0,2008
97,Ishant  Sharma,13,3,3,10,10*,-,3,333.33,0,0,1,1,2008
98,Shakib  Al Hasan,3,1,0,9,9,9,10,90,0,0,0,0,2008
99,Pawan  Negi,7,4,0,9,5,2.25,12,75,0,0,1,0,2008
100,Tim  Southee,3,1,1,9,9*,-,9,100,0,0,0,0,2008
101,David  Warner,12,12,2,692,100*,69.2,481,143.86,1,8,57,21,2009
102,KL  Rahul,14,14,3,593,100*,53.9,438,135.38,1,6,49,25,2009
103,Quinton  de Kock,16,16,1,529,81,35.26,398,132.91,0,4,45,25,2009
104,Shikhar  Dhawan,16,16,1,521,97*,34.73,384,135.67,0,5,64,11,2009
105,Andre  Russell,14,13,4,510,80*,56.66,249,204.81,0,4,31,52,2009
106,Chris  Gayle,13,13,1,490,99*,40.83,319,153.6,0,4,45,34,2009
107,Rishabh  Pant,16,16,3,488,78*,37.53,300,162.66,0,3,37,27,2009
108,Virat  Kohli,14,14,0,464,100,33.14,328,141.46,1,2,46,13,2009
109,Shreyas  Iyer,16,16,1,463,67,30.86,386,119.94,0,3,41,14,2009
110,Jonny  Bairstow,10,10,2,445,114,55.62,283,157.24,1,2,48,18,2009
111,AB  de Villiers,13,13,3,442,82*,44.2,287,154,0,5,31,26,2009
112,Suryakumar  Yadav,16,15,2,424,71*,32.61,324,130.86,0,2,45,10,2009
113,MS  Dhoni,15,12,7,416,84*,83.2,309,134.62,0,3,22,23,2009
114,Chris  Lynn,13,13,0,405,82,31.15,290,139.65,0,4,41,22,2009
115,Rohit  Sharma,15,15,1,405,67,28.92,315,128.57,0,2,52,10,2009
116,Hardik  Pandya,16,15,6,402,91,44.66,210,191.42,0,1,28,29,2009
117,Shane  Watson,17,17,0,398,96,23.41,312,127.56,0,3,42,20,2009
118,Faf  du Plessis,12,12,1,396,96,36,321,123.36,0,3,36,15,2009
119,Ajinkya  Rahane,14,13,1,393,105*,32.75,285,137.89,1,1,45,9,2009
120,Suresh  Raina,17,17,1,383,59,23.93,314,121.97,0,3,45,9,2009
121,Parthiv  Patel,14,14,0,373,67,26.64,268,139.17,0,2,48,10,2009
122,Prithvi  Shaw,16,16,0,353,99,22.06,264,133.71,0,2,45,9,2009
123,Manish  Pandey,12,11,3,344,83*,43,263,130.79,0,3,34,6,2009
124,Nitish  Rana,14,11,1,344,85*,34.4,235,146.38,0,3,27,21,2009
125,Sanju  Samson,12,12,2,342,102*,34.2,230,148.69,1,0,28,13,2009
126,Mayank  Agarwal,13,13,0,332,58,25.53,234,141.88,0,2,26,14,2009
127,Steve  Smith,12,10,2,319,73*,39.87,275,116,0,3,30,4,2009
128,Jos  Buttler,8,8,0,311,89,38.87,205,151.7,0,3,38,14,2009
129,Shubman  Gill,14,13,4,296,76,32.88,238,124.36,0,3,21,10,2009
130,Ambati  Rayudu,17,17,5,282,57,23.5,303,93.06,0,1,20,7,2009
131,Robin  Uthappa,12,11,2,282,67*,31.33,245,115.1,0,1,28,10,2009
132,Kieron  Pollard,16,14,6,279,83,34.87,178,156.74,0,1,14,22,2009
133,Dinesh  Karthik,14,13,5,253,97*,31.62,173,146.24,0,2,22,14,2009
134,Vijay  Shankar,15,14,2,244,40*,20.33,193,126.42,0,0,11,12,2009
135,Moeen  Ali,11,10,2,220,66,27.5,133,165.41,0,2,16,17,2009
136,David  Miller,10,10,2,213,59*,26.62,164,129.87,0,1,19,7,2009
137,Marcus  Stoinis,10,10,6,211,46*,52.75,156,135.25,0,0,14,10,2009
138,Colin  Ingram,12,12,2,184,47,18.4,154,119.48,0,0,20,5,2009
139,Krunal  Pandya,16,15,4,183,42,16.63,150,122,0,0,18,5,2009
140,Sarfaraz  Khan,8,5,1,180,67,45,143,125.87,0,1,19,4,2009
141,Nicholas  Pooran,7,6,0,168,48,28,107,157,0,0,10,14,2009
142,Mandeep  Singh,13,12,8,165,33*,41.25,120,137.5,0,0,10,4,2009
143,Kedar  Jadhav,14,12,3,162,58,18,169,95.85,0,1,19,3,2009
144,Riyan  Parag,7,5,0,160,50,32,126,126.98,0,1,17,5,2009
145,Kane  Williamson,9,9,2,156,70*,22.28,130,120,0,1,12,5,2009
146,Sunil  Narine,12,9,1,143,47,17.87,86,166.27,0,0,17,9,2009
147,Rahul  Tripathi,8,7,1,141,50,23.5,118,119.49,0,1,13,2,2009
148,Ben  Stokes,9,9,3,123,46,20.5,99,124.24,0,0,8,4,2009
149,Mohammad  Nabi,8,7,1,115,31,19.16,76,151.31,0,0,8,7,2009
150,Axar  Patel,14,12,6,110,26,18.33,88,125,0,0,10,3,2009
151,Ravindra  Jadeja,16,9,6,106,31*,35.33,88,120.45,0,0,7,4,2009
152,Ishan  Kishan,7,6,0,101,28,16.83,100,101,0,0,8,4,2009
153,Yuvraj  Singh,4,4,0,98,53,24.5,75,130.66,0,1,7,6,2009
154,Gurkeerat  Mann Singh,3,3,0,98,65,32.66,70,140,0,1,11,2,2009
155,Sam  Curran,9,8,4,95,55*,23.75,55,172.72,0,1,13,3,2009
156,Shimron  Hetmyer,5,5,0,90,75,18,73,123.28,0,1,4,7,2009
157,Wriddhiman  Saha,5,5,0,86,28,17.2,53,162.26,0,0,13,1,2009
158,Colin  Munro,4,4,0,84,40,21,70,120,0,0,9,4,2009
159,Martin  Guptill,3,3,0,81,36,27,53,152.83,0,0,4,7,2009
160,Dwayne  Bravo,12,9,4,80,27,16,66,121.21,0,0,6,3,2009
161,Sherfane  Rutherford,7,7,2,73,28*,14.6,54,135.18,0,0,2,7,2009
162,Liam  Livingstone,4,4,1,71,44,23.66,48,147.91,0,0,6,5,2009
163,Stuart  Binny,8,5,2,70,33*,23.33,40,175,0,0,5,4,2009
164,Jofra  Archer,11,5,3,67,27*,33.5,40,167.5,0,0,4,4,2009
165,Deepak  Hooda,11,7,1,64,20,10.66,63,101.58,0,0,5,1,2009
166,Murali  Vijay,2,2,0,64,38,32,61,104.91,0,0,6,1,2009
167,Shreyas  Gopal,14,7,3,63,19*,15.75,46,136.95,0,0,8,1,2009
168,Akshdeep  Nath,8,5,0,61,24,12.2,57,107.01,0,0,5,2,2009
169,Evin  Lewis,3,3,0,48,32,16,52,92.3,0,0,4,2,2009
170,Colin  de Grandhomme,4,4,1,46,37,15.33,49,93.87,0,0,4,2,2009
171,Piyush  Chawla,13,5,2,42,14*,14,37,113.51,0,0,4,2,2009
172,Ravichandran  Ashwin,14,6,1,42,17*,8.4,28,150,0,0,3,3,2009
173,Shivam  Dube,4,4,1,40,24,13.33,33,121.21,0,0,1,3,2009
174,Yusuf  Pathan,10,8,5,40,16*,13.33,45,88.88,0,0,1,1,2009
175,Rinku  Singh,5,3,1,37,30,18.5,34,108.82,0,0,1,2,2009
176,Rashid  Khan,15,8,3,34,17*,6.8,23,147.82,0,0,2,2,2009
177,Chris  Morris,9,6,0,32,17,5.33,37,86.48,0,0,1,2,2009
178,Mitchell  Santner,4,2,1,32,22,32,23,139.13,0,0,0,3,2009
179,Rahul  Tewatia,5,4,3,26,11*,26,22,118.18,0,0,2,1,2009
180,Umesh  Yadav,11,7,5,25,14,12.5,25,100,0,0,3,1,2009
181,Amit  Mishra,11,4,2,21,8,10.5,24,87.5,0,0,2,0,2009
182,Harpreet  Brar,2,1,1,20,20*,-,12,166.66,0,0,2,1,2009
183,Prayas  Ray Barman,1,1,0,19,19,19,24,79.16,0,0,2,0,2009
184,Keemo  Paul,8,6,1,18,7,3.6,24,75,0,0,1,1,2009
185,Ben  Cutting,3,3,1,18,13*,9,17,105.88,0,0,1,1,2009
186,Krishnappa  Gowtham,7,4,1,18,9,6,19,94.73,0,0,1,1,2009
187,Simran  Singh,1,1,0,16,16,16,17,94.11,0,0,1,1,2009
188,Alzarri  Joseph,3,2,2,15,15*,-,13,115.38,0,0,2,0,2009
189,Siddhesh  Lad,1,1,0,15,15,15,13,115.38,0,0,1,1,2009
190,Shardul  Thakur,10,3,1,14,12*,7,7,200,0,0,1,1,2009
191,Kagiso  Rabada,12,4,1,14,9,4.66,15,93.33,0,0,0,1,2009
192,Bhuvneshwar  Kumar,15,5,2,12,7*,4,19,63.15,0,0,1,0,2009
193,Kuldeep  Yadav,9,4,2,12,10*,6,8,150,0,0,1,0,2009
194,Rahul  Chahar,13,4,2,12,10,6,11,109.09,0,0,2,0,2009
195,Mitchell  McClenaghan,5,4,1,11,10,3.66,16,68.75,0,0,2,0,2009
196,Carlos  Brathwaite,2,2,0,11,6,5.5,10,110,0,0,1,0,2009
197,Ishant  Sharma,13,3,3,10,10*,-,3,333.33,0,0,1,1,2009
198,Shakib  Al Hasan,3,1,0,9,9,9,10,90,0,0,0,0,2009
199,Pawan  Negi,7,4,0,9,5,2.25,12,75,0,0,1,0,2009
200,Tim  Southee,3,1,1,9,9*,-,9,100,0,0,0,0,2009
201,David  Warner,12,12,2,692,100*,69.2,481,143.86,1,8,57,21,2010
202,KL  Rahul,14,14,3,593,100*,53.9,438,135.38,1,6,49,25,2010
203,Quinton  de Kock,16,16,1,529,81,35.26,398,132.91,0,4,45,25,2010
204,Shikhar  Dhawan,16,16,1,521,97*,34.73,384,135.67,0,5,64,11,2010
205,Andre  Russell,14,13,4,510,80*,56.66,249,204.81,0,4,31,52,2010
206,Chris  Gayle,13,13,1,490,99*,40.83,319,153.6,0,4,45,34,2010
207,Rishabh  Pant,16,16,3,488,78*,37.53,300,162.66,0,3,37,27,2010
208,Virat  Kohli,14,14,0,464,100,33.14,328,141.46,1,2,46,13,2010
209,Shreyas  Iyer,16,16,1,463,67,30.86,386,119.94,0,3,41,14,2010
210,Jonny  Bairstow,10,10,2,445,114,55.62,283,157.24,1,2,48,18,2010
211,AB  de Villiers,13,13,3,442,82*,44.2,287,154,0,5,31,26,2010
212,Suryakumar  Yadav,16,15,2,424,71*,32.61,324,130.86,0,2,45,10,2010
213,MS  Dhoni,15,12,7,416,84*,83.2,309,134.62,0,3,22,23,2010
214,Chris  Lynn,13,13,0,405,82,31.15,290,139.65,0,4,41,22,2010
215,Rohit  Sharma,15,15,1,405,67,28.92,315,128.57,0,2,52,10,2010
216,Hardik  Pandya,16,15,6,402,91,44.66,210,191.42,0,1,28,29,2010
217,Shane  Watson,17,17,0,398,96,23.41,312,127.56,0,3,42,20,2010
218,Faf  du Plessis,12,12,1,396,96,36,321,123.36,0,3,36,15,2010
219,Ajinkya  Rahane,14,13,1,393,105*,32.75,285,137.89,1,1,45,9,2010
220,Suresh  Raina,17,17,1,383,59,23.93,314,121.97,0,3,45,9,2010
221,Parthiv  Patel,14,14,0,373,67,26.64,268,139.17,0,2,48,10,2010
222,Prithvi  Shaw,16,16,0,353,99,22.06,264,133.71,0,2,45,9,2010
223,Manish  Pandey,12,11,3,344,83*,43,263,130.79,0,3,34,6,2010
224,Nitish  Rana,14,11,1,344,85*,34.4,235,146.38,0,3,27,21,2010
225,Sanju  Samson,12,12,2,342,102*,34.2,230,148.69,1,0,28,13,2010
226,Mayank  Agarwal,13,13,0,332,58,25.53,234,141.88,0,2,26,14,2010
227,Steve  Smith,12,10,2,319,73*,39.87,275,116,0,3,30,4,2010
228,Jos  Buttler,8,8,0,311,89,38.87,205,151.7,0,3,38,14,2010
229,Shubman  Gill,14,13,4,296,76,32.88,238,124.36,0,3,21,10,2010
230,Ambati  Rayudu,17,17,5,282,57,23.5,303,93.06,0,1,20,7,2010
231,Robin  Uthappa,12,11,2,282,67*,31.33,245,115.1,0,1,28,10,2010
232,Kieron  Pollard,16,14,6,279,83,34.87,178,156.74,0,1,14,22,2010
233,Dinesh  Karthik,14,13,5,253,97*,31.62,173,146.24,0,2,22,14,2010
234,Vijay  Shankar,15,14,2,244,40*,20.33,193,126.42,0,0,11,12,2010
235,Moeen  Ali,11,10,2,220,66,27.5,133,165.41,0,2,16,17,2010
236,David  Miller,10,10,2,213,59*,26.62,164,129.87,0,1,19,7,2010
237,Marcus  Stoinis,10,10,6,211,46*,52.75,156,135.25,0,0,14,10,2010
238,Colin  Ingram,12,12,2,184,47,18.4,154,119.48,0,0,20,5,2010
239,Krunal  Pandya,16,15,4,183,42,16.63,150,122,0,0,18,5,2010
240,Sarfaraz  Khan,8,5,1,180,67,45,143,125.87,0,1,19,4,2010
241,Nicholas  Pooran,7,6,0,168,48,28,107,157,0,0,10,14,2010
242,Mandeep  Singh,13,12,8,165,33*,41.25,120,137.5,0,0,10,4,2010
243,Kedar  Jadhav,14,12,3,162,58,18,169,95.85,0,1,19,3,2010
244,Riyan  Parag,7,5,0,160,50,32,126,126.98,0,1,17,5,2010
245,Kane  Williamson,9,9,2,156,70*,22.28,130,120,0,1,12,5,2010
246,Sunil  Narine,12,9,1,143,47,17.87,86,166.27,0,0,17,9,2010
247,Rahul  Tripathi,8,7,1,141,50,23.5,118,119.49,0,1,13,2,2010
248,Ben  Stokes,9,9,3,123,46,20.5,99,124.24,0,0,8,4,2010
249,Mohammad  Nabi,8,7,1,115,31,19.16,76,151.31,0,0,8,7,2010
250,Axar  Patel,14,12,6,110,26,18.33,88,125,0,0,10,3,2010
251,Ravindra  Jadeja,16,9,6,106,31*,35.33,88,120.45,0,0,7,4,2010
252,Ishan  Kishan,7,6,0,101,28,16.83,100,101,0,0,8,4,2010
253,Yuvraj  Singh,4,4,0,98,53,24.5,75,130.66,0,1,7,6,2010
254,Gurkeerat  Mann Singh,3,3,0,98,65,32.66,70,140,0,1,11,2,2010
255,Sam  Curran,9,8,4,95,55*,23.75,55,172.72,0,1,13,3,2010
256,Shimron  Hetmyer,5,5,0,90,75,18,73,123.28,0,1,4,7,2010
257,Wriddhiman  Saha,5,5,0,86,28,17.2,53,162.26,0,0,13,1,2010
258,Colin  Munro,4,4,0,84,40,21,70,120,0,0,9,4,2010
259,Martin  Guptill,3,3,0,81,36,27,53,152.83,0,0,4,7,2010
260,Dwayne  Bravo,12,9,4,80,27,16,66,121.21,0,0,6,3,2010
261,Sherfane  Rutherford,7,7,2,73,28*,14.6,54,135.18,0,0,2,7,2010
262,Liam  Livingstone,4,4,1,71,44,23.66,48,147.91,0,0,6,5,2010
263,Stuart  Binny,8,5,2,70,33*,23.33,40,175,0,0,5,4,2010
264,Jofra  Archer,11,5,3,67,27*,33.5,40,167.5,0,0,4,4,2010
265,Deepak  Hooda,11,7,1,64,20,10.66,63,101.58,0,0,5,1,2010
266,Murali  Vijay,2,2,0,64,38,32,61,104.91,0,0,6,1,2010
267,Shreyas  Gopal,14,7,3,63,19*,15.75,46,136.95,0,0,8,1,2010
268,Akshdeep  Nath,8,5,0,61,24,12.2,57,107.01,0,0,5,2,2010
269,Evin  Lewis,3,3,0,48,32,16,52,92.3,0,0,4,2,2010
270,Colin  de Grandhomme,4,4,1,46,37,15.33,49,93.87,0,0,4,2,2010
271,Piyush  Chawla,13,5,2,42,14*,14,37,113.51,0,0,4,2,2010
272,Ravichandran  Ashwin,14,6,1,42,17*,8.4,28,150,0,0,3,3,2010
273,Shivam  Dube,4,4,1,40,24,13.33,33,121.21,0,0,1,3,2010
274,Yusuf  Pathan,10,8,5,40,16*,13.33,45,88.88,0,0,1,1,2010
275,Rinku  Singh,5,3,1,37,30,18.5,34,108.82,0,0,1,2,2010
276,Rashid  Khan,15,8,3,34,17*,6.8,23,147.82,0,0,2,2,2010
277,Chris  Morris,9,6,0,32,17,5.33,37,86.48,0,0,1,2,2010
278,Mitchell  Santner,4,2,1,32,22,32,23,139.13,0,0,0,3,2010
279,Rahul  Tewatia,5,4,3,26,11*,26,22,118.18,0,0,2,1,2010
280,Umesh  Yadav,11,7,5,25,14,12.5,25,100,0,0,3,1,2010
281,Amit  Mishra,11,4,2,21,8,10.5,24,87.5,0,0,2,0,2010
282,Harpreet  Brar,2,1,1,20,20*,-,12,166.66,0,0,2,1,2010
283,Prayas  Ray Barman,1,1,0,19,19,19,24,79.16,0,0,2,0,2010
284,Keemo  Paul,8,6,1,18,7,3.6,24,75,0,0,1,1,2010
285,Ben  Cutting,3,3,1,18,13*,9,17,105.88,0,0,1,1,2010
286,Krishnappa  Gowtham,7,4,1,18,9,6,19,94.73,0,0,1,1,2010
287,Simran  Singh,1,1,0,16,16,16,17,94.11,0,0,1,1,2010
288,Alzarri  Joseph,3,2,2,15,15*,-,13,115.38,0,0,2,0,2010
289,Siddhesh  Lad,1,1,0,15,15,15,13,115.38,0,0,1,1,2010
290,Shardul  Thakur,10,3,1,14,12*,7,7,200,0,0,1,1,2010
291,Kagiso  Rabada,12,4,1,14,9,4.66,15,93.33,0,0,0,1,2010
292,Bhuvneshwar  Kumar,15,5,2,12,7*,4,19,63.15,0,0,1,0,2010
293,Kuldeep  Yadav,9,4,2,12,10*,6,8,150,0,0,1,0,2010
294,Rahul  Chahar,13,4,2,12,10,6,11,109.09,0,0,2,0,2010
295,Mitchell  McClenaghan,5,4,1,11,10,3.66,16,68.75,0,0,2,0,2010
296,Carlos  Brathwaite,2,2,0,11,6,5.5,10,110,0,0,1,0,2010
297,Ishant  Sharma,13,3,3,10,10*,-,3,333.33,0,0,1,1,2010
298,Shakib  Al Hasan,3,1,0,9,9,9,10,90,0,0,0,0,2010
299,Pawan  Negi,7,4,0,9,5,2.25,12,75,0,0,1,0,2010
300,Tim  Southee,3,1,1,9,9*,-,9,100,0,0,0,0,2010
301,David  Warner,12,12,2,692,100*,69.2,481,143.86,1,8,57,21,2011
